what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1337918317763
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1337918317792
started,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1337918317831
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1337918317845
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1337918317852
executed,command,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.command.activateSelectedTask",1337918317920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918321325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918322394
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337918322638
closed,editor,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.editors.task",1337918322639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918326309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918328969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918332925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918334584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918342801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918343511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918366565
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918371413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918375079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918379416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918388742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918389507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918389742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918399223
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918419692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918427653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918427893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918428635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918457644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918553688
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1337918557357
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337918557407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918569462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918570957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918622118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918627365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918635342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918635466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918639637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918639742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918658303
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918666493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918682461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918682590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918720813
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918749889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918755629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918755760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918791622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918791634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918791640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918800500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918862198
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918870609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337918941846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919019109
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337919080361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919081661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919082773
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919100374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919111430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919128823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919130909
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919228366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919229687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919256957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919257071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919326310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919326439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919339838
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919341517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919402406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919439924
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919484229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919484401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337919490982
